ИФ,Возраст,Сумма кредита,Средний ежемесячный доход за последние 6 мес,Ежемес. Выплаты по кредиту,Срок кредита (мес.),Кредит одобрен?
Наталия Лазнева,0,50000,15000,8333,6,В кредите отказано
Полина Качева,1,60000,17000,7500,8,В кредите отказано
Александр Суточников,2,70000,19000,7000,10,В кредите отказано
София Рыжавина,3,80000,21000,6667,12,В кредите отказано
Анатолий Лычевский,4,90000,23000,6429,14,В кредите отказано
Геннадий Туралин,5,100000,25000,6250,16,В кредите отказано
Вероника Малченкова,6,110000,27000,6111,18,В кредите отказано
Ева Авельцова,7,120000,29000,6000,20,В кредите отказано
Мария Шишулкина,8,130000,31000,5909,22,В кредите отказано
Игорь Лиманский,9,140000,33000,5833,24,В кредите отказано
Кирилл Поплев,10,150000,35000,5769,26,В кредите отказано
Алена Мамралиева,11,160000,37000,5714,28,В кредите отказано
Михаил Джаниев,12,170000,39000,5667,30,В кредите отказано
Игорь Болбин,13,180000,41000,5625,32,В кредите отказано
Наталия Иксапова,14,190000,43000,5588,34,В кредите отказано
Вячеслав Дахнов,15,200000,45000,5556,36,В кредите отказано
Вера Хатина,16,210000,47000,5526,38,В кредите отказано
Лариса Седлова,17,220000,49000,5500,40,В кредите отказано
Владислав Скудатин,0,230000,51000,5476,42,В кредите отказано
Алена Швейцова,1,240000,53000,5455,44,В кредите отказано
Павел Арсиев,2,250000,55000,5435,46,В кредите отказано
Катерина Юнанова,3,260000,57000,5417,48,В кредите отказано
Евгения Клушева,4,270000,59000,5400,50,В кредите отказано
Анастасия Ременцова,5,280000,61000,5385,52,В кредите отказано
Артур Берзуков,6,290000,63000,5370,54,В кредите отказано
Михаил Челикин,7,300000,65000,5357,56,В кредите отказано
Яна Макаридина,8,310000,67000,5345,58,В кредите отказано
Светлана Гитарская,9,320000,69000,5333,60,В кредите отказано
Борис Жевнеров,10,330000,71000,5323,62,В кредите отказано
Яков Болуков,11,340000,73000,5313,64,В кредите отказано
Алёна Кобликова,12,350000,75000,5303,66,В кредите отказано
Мария Фейзуллина,13,360000,77000,5294,68,В кредите отказано
Лариса Пракина,14,370000,79000,5286,70,В кредите отказано
Дарья Запатраева,15,380000,81000,5278,72,В кредите отказано
Михаил Ленточкин,16,390000,83000,5270,74,В кредите отказано
Илья Бабиевский,17,400000,85000,5263,76,В кредите отказано
Валентин Порсин,0,410000,87000,5256,78,В кредите отказано
Софья Оболенина,1,420000,89000,5250,80,В кредите отказано
Максим Кременский,2,430000,91000,5244,82,В кредите отказано
Константин Купрюхин,3,440000,93000,5238,84,В кредите отказано
Николай Гапоненков,4,450000,95000,5233,86,В кредите отказано
Руслан Зеликов,5,460000,97000,5227,88,В кредите отказано
Альберт Андершанов,6,470000,99000,5222,90,В кредите отказано
Николай Тверитин,7,480000,101000,5217,92,В кредите отказано
Федор Баратов,8,490000,103000,5213,94,В кредите отказано
Игорь Стахорский,9,500000,105000,5208,96,В кредите отказано
Яков Миламедов,10,510000,107000,5204,98,В кредите отказано
Виолетта Канухина,11,520000,109000,5200,100,В кредите отказано
Наталия Цурилина,12,530000,111000,5196,102,В кредите отказано
Вячеслав Анисов,13,540000,113000,5192,104,В кредите отказано
Анна Водолицкая,14,550000,115000,5189,106,В кредите отказано
Людмила Шепаксова,15,560000,117000,5185,108,В кредите отказано
Артур Черлин,16,570000,119000,5182,110,В кредите отказано
Борис Дрюцкий,17,580000,121000,5179,112,В кредите отказано
Вячеслав Калданов,0,590000,123000,5175,114,В кредите отказано
Геннадий Татарцев,1,600000,125000,5172,116,В кредите отказано
Инна Стадумова,2,610000,127000,5169,118,В кредите отказано
Ирина Гудюшкина,3,620000,129000,5167,120,В кредите отказано
Мария Волочаева,4,630000,131000,5164,122,В кредите отказано
Эдуард Нужных,5,640000,133000,5161,124,В кредите отказано
Артём Глухушкин,6,650000,135000,5159,126,В кредите отказано
Алексей Ситиков,7,660000,137000,5156,128,В кредите отказано
Геннадий Новых,8,670000,139000,5154,130,В кредите отказано
Леонид Задерацкий,9,680000,141000,5152,132,В кредите отказано
Иван Лодяков,10,690000,143000,5149,134,В кредите отказано
Леонид Гойдышев,11,700000,145000,5147,136,В кредите отказано
Роман Чечевицкий,12,710000,147000,5145,138,В кредите отказано
Людмила Цыплухина,13,720000,149000,5143,140,В кредите отказано
Вячеслав Сыропаев,14,730000,151000,5141,142,В кредите отказано
Вера Чирова,15,740000,153000,5139,144,В кредите отказано
